Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1931,17.86,19.062,23.518,28.563,30.211,30.172,27.031,26.678,25.998,24.123,20.334,17.442
1932,17.783,18.585,23.757,27.389,29.613,29.777,27.001,26.243,26.294,24.669,20.601,17.231
1933,16.262,19.784,23.753,26.46,28.127,28.36,26.851,25.823,25.645,23.937,20.428,17.294
1934,15.991,19.725,23.297,27.732,29.917,28.853,26.77,26.026,26.073,23.767,19.761,17.297
1935,15.888,19.379,23.618,25.859,30.518,29.711,26.714,25.858,25.639,24.042,20.556,17.36
1936,16.589,19.189,23.562,27.229,30.41,27.68,26.706,26.211,26.074,24.151,20.903,17.314
1937,16.143,19.608,22.893,26.327,29.823,29.554,26.657,26.477,26.214,23.794,20.539,16.466
1938,17.305,18.346,24.786,28.108,30.312,27.459,26.655,26.361,26.284,24.36,19.572,17.155
1939,17.484,19.606,22.512,26.9,30.429,28.862,26.785,26.702,26.148,24.775,20.425,17.291
1940,16.722,19.296,22.363,26.928,30.061,29.209,26.86,26.046,26.077,24.615,21.33,17.32
1941,16.932,19.978,25.153,28.997,30.595,29.106,27.493,26.872,26.452,25.358,20.846,18.309
1942,16.664,19.789,24.535,28.23,30.642,30.039,26.631,25.974,25.663,24.346,20.919,17.094
1943,17.534,18.873,24.052,26.655,29.941,28.726,26.638,25.807,25.931,24.076,21.077,17.552
1944,16.725,18.788,22.7,26.484,30.657,29.248,26.608,26.276,25.992,23.954,20.681,18.062
1945,15.918,18.778,24.102,26.543,29.869,29.652,26.747,26.475,25.905,23.807,20.12,16.143
1946,16.905,20.413,23.832,27.86,29.843,28.625,26.767,26.177,26.045,24.643,20.712,17.791
1947,16.861,19.518,24.311,28.103,30.586,30.128,27.14,26.673,25.805,23.524,20.986,17.719
1948,17.289,19.3,23.455,28.277,30.765,29.748,26.999,26.161,25.975,24.611,20.874,16.826
1949,17.703,19.189,24.296,27.935,30.044,28.988,26.817,26.383,26.235,24.559,19.68,16.738
1950,17.318,18.305,22.933,27.13,30.267,29.23,26.582,26.194,25.711,23.842,19.818,16.582
1951,16.331,19.315,23.841,26.345,29.826,29.103,27.47,26.548,26.762,26.005,21.601,17.501
1952,17.707,20.749,23.39,28.295,30.426,29.302,27.036,26.085,26.315,24.624,20.51,17.947
1953,16.733,20.812,25.969,28.049,30.717,29.89,26.922,26.251,26.126,24.296,20.544,18.43
1954,16.445,20.633,24.173,28.436,30.921,29.378,26.932,26.603,25.871,23.112,20.084,17.418
1955,17.075,20.014,25.048,26.636,29.526,29.15,26.999,26.022,26.008,23.898,19.913,17.137
1956,17.035,19.273,24.437,28.282,30.411,28.155,25.997,25.901,26.001,23.629,20.167,17.508
1957,17.035,18.576,22.721,27.015,29.611,29.478,27.105,26.495,26.213,24.596,21.349,18.123
1958,18.31,19.862,24.626,28.768,30.492,30.656,27.074,26.62,26.056,24.456,21.192,18.004
1959,17.45,19.402,24.544,28.041,30.207,29.347,26.647,26.261,26.001,24.64,20.762,17.9
1960,16.885,20.962,23.285,27.488,30.185,29.581,27.091,26.53,26.517,24.382,20.403,18.137
1961,17.514,18.335,24.665,27.743,29.963,28.716,26.677,26.462,25.882,23.896,19.907,16.023
1962,15.838,19.62,23.545,27.634,29.728,29.275,27.299,26.316,25.816,23.673,20.493,17.38
